ind,grp,val
1,a,1.1812623366402655
2,b,-0.8281927083682781
3,b,-1.0164676401746724
4,a,-1.7480500628321458
5,b,0.47432866168403
6,a,-0.49954789975211417
7,b,-1.3568153958071494
8,c,-1.3803386500861852
9,c,-0.06298162571827713
10,c,1.0270847812016282
11,b,0.09819595669331722
12,b,-0.1255079617981062
13,a,0.09076266232104988
14,a,-0.07109943661074004
15,a,-0.9533575715204987
16,a,0.21776232451104557
17,c,0.00663405895603217
18,a,1.1066814096508077
19,b,-0.11407660907069743
20,a,-0.1487878488799682
21,a,1.538972356253453
22,b,-1.5081485011390983
23,a,0.8859901119201073
24,a,-0.41240379769243146
25,a,-0.010621117669688533
26,b,1.5981393062832456
27,a,1.0865044362002816
28,c,0.6200553491272238
29,a,0.338058308600524
30,b,-0.604414216544844
31,a,1.5456580011698962
32,a,0.0058145125962618975
33,a,0.8848343653448135
34,c,-0.7690460338155225
35,a,-0.34227442354139587
36,b,0.07421293670228164
37,a,0.1195050398300785
38,b,0.45497018509771137
39,b,-0.5500039190302388
40,c,-0.23167890976212968
41,b,1.392898804200321
42,b,0.2071176625346795
43,c,-1.5126914041994304
44,b,1.9964819168895276
45,a,-1.4995150566305127
46,b,-0.2549655008481075
47,a,1.1045764408996979
48,a,1.6953506360056216
49,b,0.5714650741452946
50,b,-0.8427618931832287
51,c,-1.6385843218178318
52,b,0.02649230090082069
53,c,1.0650920848265457
54,a,-0.3010171363942305
55,c,0.417863504680234
56,b,0.300261312400878
57,b,0.18642091704691743
58,c,1.3227633665337175
59,a,-0.036171643201602446
60,b,1.7587609904693853
61,a,-1.210084337068751
62,b,-0.7599388887552893
63,c,1.0011584255458146
64,c,0.14601971725633808
65,a,-2.482680913892611
66,c,0.4208886492756575
67,b,0.3457354180769137
68,b,0.2756113796334647
69,b,-0.3438934233345486
70,c,-0.1756153507081911
71,b,2.146159624415643
72,b,0.12831323419885837
73,b,-1.0596709920841532
74,c,0.7333538896143658
75,a,0.6105047149238368
76,c,-0.684669618688929
77,c,-0.30861382249105845
78,b,0.8878476079311037
79,a,0.028900218317970187
80,c,0.7216588485162111
81,a,-0.3069410628497207
82,a,-0.6589513487093508
83,a,-0.0701660134922353
84,a,0.8044094328820672
85,c,-0.6987958934710569
86,a,0.7713690535845332
87,b,1.9472118052417255
88,c,1.7825275458807426
89,b,1.1202142965915916
90,a,0.9152350734903407
91,a,-0.4198615051498547
92,b,-0.7212339268744907
93,a,1.1145351421261083
94,b,-0.6229961021037496
95,c,-0.23793328012228876
96,a,1.0814577007368997
97,b,1.9791943480272198
98,b,0.14111773585352258
99,b,2.046209586038765
100,c,-1.5405183889290734
101,a,-3.1067569070051206
102,c,0.3060504803885923
103,b,0.1351924546595272
104,b,0.3295245660857537
105,b,-0.1393317228882035
106,c,-0.9429308361638562
107,a,-1.3485323854499054
108,c,0.3949337768971727
109,a,0.20686095197860319
110,b,1.655715744412322
111,a,-0.9844804573021996
112,b,1.2681346176577541
113,b,2.0119538778943635
114,c,0.6214731342948028
115,b,-0.7713473782705059
116,c,0.7437873908361978
117,c,-0.040317823314757265
118,a,-0.6158473968757996
119,a,0.9830717551870356
120,a,0.9033143802503241
121,b,-0.4832938989798752
122,a,1.935024090575719
123,b,-0.7909956209313829
124,a,0.6124667702369617
125,b,0.889969165251673
126,a,-0.2457858984866923
127,b,1.3918818023679376
128,c,0.8470291186877756
129,c,1.1027492316312797
130,c,-0.1931405415810571
131,a,2.0452483563550143
132,c,1.9134680212283144
133,b,-1.4209319689459585
134,b,0.232444466240722
135,b,0.3612660685826567
136,b,1.3248787333759067
137,c,-1.3755313165786314
138,c,0.8192746006001536
139,b,-0.03960676038751901
140,b,1.5275664159707285
141,c,0.1618777990334313
142,c,0.7029152410628869
143,a,-0.1301917616885821
144,b,0.19539562577222605
145,c,-0.10099110742890449
146,c,-0.6307989117346007
147,c,0.41309277731670324
148,a,0.4682040196187233
149,b,-1.1062144292953577
150,c,2.190328374600026
151,a,-0.43785917827052573
152,b,0.23129949482978968
153,b,-0.3424495087152059
154,a,1.9326458467379088
155,b,1.309501115086894
156,a,2.79883222296887
157,a,-0.6041590924347551
158,b,-0.3254830532418623
159,c,-1.1691764055445846
160,c,-0.565712061080238
161,b,-1.5942430917385926
162,a,-0.8985851188597355
163,b,1.7848497525271572
164,b,1.784910553054312
165,a,0.4866451350201323
166,a,0.06197283050631368
167,b,0.5411668816945895
168,a,0.570222639965316
169,a,0.252012270304168
170,c,1.4521488121576276
171,c,0.324920870891951
172,c,0.38657532672732287
173,c,1.647167882374771
174,b,1.423000590231764
175,c,0.5755604680839322
176,c,0.770012323638625
177,c,1.0937148931616745
178,a,-0.22730289153596964
179,c,0.5525307164256701
180,b,1.8356894536866568
181,c,1.1489851596479848
182,a,0.09816043237214539
183,b,0.8870764033936406
184,a,0.6238240092161177
185,b,0.23743251389831077
186,a,1.0667883558483804
187,a,-0.5726164013438134
188,c,-0.6600041126313207
189,b,-0.6892028229271945
190,b,0.6073026078055601
191,c,-0.8807070385082704
192,c,-0.38212166522431656
193,b,-0.044561469069728785
194,a,-0.5662294483375846
195,c,-0.16824317797300983
196,c,-1.6388528370302164
197,c,-0.6140058188221839
198,c,-1.5051556502266754
199,b,-0.008297218370759382
200,b,0.417161638634797
201,b,1.2203209702863405
202,c,-0.2920285805782791
203,a,-0.535381382893214
204,a,1.143482902237425
205,c,1.1934963344678522
206,c,0.6593600622276095
207,b,-0.49186031522819124
208,a,1.3182866721849218
209,a,0.2700021670224486
210,a,-0.5683011282157641
211,c,0.1449097989184338
212,c,-1.4679106127483146
213,b,0.6763269155080504
214,c,-0.490750993909439
215,a,-1.0443793517683435
216,c,-0.7015145279114007
217,a,-0.08706332669752734
218,a,1.1215858012588615
219,c,0.7840639852438513
220,b,-0.52096947050099085
221,a,-0.6813336108983993
222,c,0.4058185032236352
223,a,-0.8175091887457504
224,a,0.4860807168791431
225,b,-0.07851899214265015
226,b,0.9663855840187278
227,c,0.370993173401973
228,b,0.8451205557227726
229,a,0.7291087881034602
230,a,1.2581332226752842
231,b,-0.7709273622991004
